Date, Penny ML ,Equal Weighted Universe,Russell Micro Cap Growth,Russell 2000
"Jan 3, '23",100000,100000,100000,100000
"Jan 4, '23",102793,102431,101311,101253
"Jan 5, '23",108053,113830,100289,100152
"Jan 6, '23",111271,103228,102610,102416
"Jan 7, '23",111621,103228,102610,102416
"Jan 8, '23",111621,103228,102610,102416
"Jan 9, '23",111621,101873,103462,102595
"Jan 10, '23",113566,100797,105654,104123
"Jan 11, '23",114367,103627,106398,105346
"Jan 12, '23",114381,99641,108720,107185
"Jan 13, '23",114552,98485,109950,107814
"Jan 14, '23",115055,98485,109950,107814
"Jan 15, '23",115055,98485,109950,107814
"Jan 16, '23",115055,98485,109950,107814
"Jan 17, '23",115055,97848,109643,107658
"Jan 18, '23",115281,94779,107931,105950
"Jan 19, '23",115312,96014,106964,104923
"Jan 20, '23",115488,92148,108886,106697
"Jan 21, '23",115488,92706,108886,106697
"Jan 22, '23",115488,92706,108886,106697
"Jan 23, '23",115488,99562,109868,108036
"Jan 24, '23",115488,95935,109860,107745
"Jan 25, '23",115483,94898,110088,108015
"Jan 26, '23",115502,95177,110064,108744
"Jan 27, '23",115502,93942,110779,109224
"Jan 28, '23",115556,93942,110779,109224
"Jan 29, '23",115556,93942,110779,109224
"Jan 30, '23",115556,93185,108782,107761
"Jan 31, '23",115690,91710,111116,110402
"Feb 1, '23",115690,95377,112343,112056
"Feb 2, '23",115700,93025,114499,114369
"Feb 3, '23",115679,92148,114006,113483
"Feb 4, '23",115669,92148,114006,113483
"Feb 5, '23",115669,92148,114006,113483
"Feb 6, '23",115669,88880,112844,111899
"Feb 7, '23",115957,89279,113570,112755
"Feb 8, '23",115872,90753,111209,111041
"Feb 9, '23",115853,86369,109739,109493
"Feb 10, '23",115767,87206,109850,109697
"Feb 11, '23",115824,87206,109850,109697
"Feb 12, '23",115824,87206,109850,109697
"Feb 13, '23",115824,87684,110378,110983
"Feb 14, '23",115699,91112,110780,110925
"Feb 15, '23",116123,88800,112094,112132
"Feb 16, '23",116032,89079,110831,111070
"Feb 17, '23",115983,89677,111272,111313
"Feb 18, '23",116300,89677,111272,111313
"Feb 19, '23",116300,89677,111272,111313
"Feb 20, '23",116300,89677,111272,111313
"Feb 21, '23",116300,88083,107657,107989
"Feb 22, '23",116152,86847,107431,108360
"Feb 23, '23",116694,87684,108203,109134
"Feb 24, '23",116696,85054,107020,108134
"Feb 25, '23",116140,85054,107020,108134
"Feb 26, '23",116140,85054,107020,108134
"Feb 27, '23",116140,85293,107403,108477
"Feb 28, '23",117912,81028,108061,108538
"Mar 1, '23",117816,85173,108151,108623
"Mar 2, '23",117698,85692,108111,108879
"Mar 3, '23",118350,81746,109879,110351
"Mar 4, '23",119433,81746,109879,110351
"Mar 5, '23",119433,81746,109879,110351
"Mar 6, '23",119433,78717,107572,108732
"Mar 7, '23",119193,78119,106805,107530
"Mar 8, '23",119463,75727,106926,107577
"Mar 9, '23",119063,81347,103962,104573
"Mar 10, '23",119662,77880,99916,101493
"Mar 11, '23",118770,80869,99916,101493
"Mar 12, '23",118770,80869,99916,101493
"Mar 13, '23",118770,73216,99507,99879
"Mar 14, '23",121068,73894,101309,101780
"Mar 15, '23",121396,75727,99264,100016
"Mar 16, '23",121922,76325,100533,101478
"Mar 17, '23",121938,83659,98215,98884
"Mar 18, '23",119965,83659,98215,98884
"Mar 19, '23",119965,83659,98215,98884
"Mar 20, '23",119965,79713,98485,99979
"Mar 21, '23",118432,83300,100568,101857
"Mar 22, '23",123202,77720,98028,98972
"Mar 23, '23",121531,73934,97915,98570
"Mar 24, '23",121247,78557,98271,99412
"Mar 25, '23",120349,78557,98271,99412
"Mar 26, '23",120349,78557,98271,99412
"Mar 27, '23",120349,82902,99349,100488
"Mar 28, '23",122827,77720,99072,100430
"Mar 29, '23",121657,77720,100340,101518
"Mar 30, '23",122538,77680,100034,101390
"Mar 31, '23",124098,78916,101734,103352
"Apr 1, '23",126851,78916,101734,103352
"Apr 2, '23",126851,78916,101734,103352
"Apr 3, '23",126851,77441,102074,103347
"Apr 4, '23",126331,80510,100217,101478
"Apr 5, '23",127403,77919,98650,100481
"Apr 6, '23",126778,75727,99184,100618
"Apr 7, '23",126337,75727,99184,100618
"Apr 8, '23",126337,75727,99184,100618
"Apr 9, '23",126337,75727,99184,100618
"Apr 10, '23",126337,75887,100617,101651
"Apr 11, '23",127689,75329,101333,102465
"Apr 12, '23",130182,74332,100193,101729
"Apr 13, '23",130901,74651,101952,103055
"Apr 14, '23",132947,70945,100820,102168
"Apr 15, '23",133728,70945,100820,102168
"Apr 16, '23",133728,70945,100820,102168
"Apr 17, '23",133728,69749,103673,103412
"Apr 18, '23",133636,66202,103235,102994
