,ticker,total_count,prediction_1_count,prediction_2_count
0,1,3550,0,0
1,2,44818,0,388
2,3,9264,0,0
3,4,5366,0,0
4,5,1142,0,16
5,6,26108,0,0
6,7,135486,0,1108
7,8,25344,2,0
8,9,28450,51,13
9,10,95076,15,40
10,11,87000,0,1427
11,12,1014,0,0
12,13,7724,0,0
13,14,17106,0,0
14,16,120736,7,1519
15,17,14862,0,0
16,18,57422,422,3
17,19,9906,0,366
18,20,70650,2,1
19,21,2966,0,0
20,22,938,0,0
21,23,37550,0,129
22,24,14796,0,4
23,25,2226,0,0
24,26,12768,0,0
25,27,6006,0,0
26,28,28290,4,160
27,29,123864,0,478
28,30,40734,2,47
29,31,62518,0,305
30,32,15852,0,0
31,33,8224,2,0
32,34,13834,0,0
33,35,81268,7,471
34,36,40606,0,4
35,37,11438,3,10
36,38,6636,32,18
37,39,1700,2,0
38,40,672,0,0
39,41,56116,0,3547
40,42,5043,359,18
41,43,2670,0,1
42,44,72326,25,0
43,45,25485,0,98
44,46,2877,0,0
45,47,2692,0,0
46,48,77336,70,144
47,49,64044,0,33
48,50,22846,89,0
49,51,78237,7,1235
50,52,7316,1,0
51,53,229,0,0
52,54,70203,0,2563
53,55,14971,7,0
54,56,6229,0,0
55,57,34909,3,0
56,58,13698,5,27
57,59,842,0,0
58,60,1125,0,0
59,61,11473,11,0
60,62,4911,0,0
61,63,11860,0,795
62,64,27422,0,800
63,65,1579,0,0
64,66,15028,145,7
65,67,12051,2,63
66,68,31285,0,0
67,70,14387,2,1
68,71,7371,0,15
69,72,33058,0,0
70,73,4330,24,0
71,74,10847,0,23
72,75,8779,47,1
73,76,9327,1,20
74,77,7979,4,3
75,78,49045,498,0
76,79,23782,3,9
77,80,3496,0,0
78,81,1598,0,0
79,82,24657,0,90
80,83,1914,0,0
81,84,1834,0,5
82,85,1773,0,0
83,86,7711,0,0
84,87,32077,18,474
85,88,6951,0,0
86,89,943,0,0
87,90,14424,0,2
88,91,31371,1,0
89,92,6949,0,0
90,93,15487,30,61
91,94,59863,0,309
92,95,9724,0,53
93,96,4643,0,10
94,97,2019,0,0
95,98,33740,0,683
96,99,92791,0,0
97,100,35908,0,33
98,102,3845,0,0
99,103,8443,5,90
100,104,34609,27,542
101,105,93428,0,602
102,106,42933,0,0
103,107,2339,0,0
104,108,824,0,0
105,109,3118,0,2
106,110,12436,17,49
107,111,3872,24,0
108,112,10850,1,3
109,113,4522,3,1
110,115,7417,41,0
111,116,59562,0,771
112,117,7840,0,24
113,118,31132,12,0
114,119,828,0,0
115,120,256,0,0
116,121,7688,2,0
117,122,4600,10,0
118,123,11538,3,15
119,124,17720,0,27
120,125,3395,0,0
121,126,11091,0,38
122,127,16153,10,88
123,128,6383,0,0
124,129,125,0,0
125,130,8603,0,54
126,131,18078,9,291
127,132,18150,35,56
128,133,5199,0,0
129,134,57096,0,740
130,136,4792,14,0
131,137,7261,0,0
132,138,20306,61,55
133,139,31935,157,15
134,140,9308,0,1
135,141,33109,18,11
