Time,ticker,Cash,Market Value,Ticker Quantity,Transacted Quantity,Transacted Cash,vwap,Prediction,Probability
2023-01-03 12:00:00,2,99590.52,100000.0,1765,1765,-409.48,0.232,2,0.64
2023-01-04 12:01:00,2,100047.30200000001,100047.30199999997,0,1765,456.782,0.2588,0,0.6
2023-01-18 14:40:00,2,100017.66200000001,100047.30199999997,120,120,-29.64,0.247,2,0.5
2023-01-30 12:00:00,2,100046.63,100046.6300000001,0,120,28.968,0.2414,0,0.62
2023-01-31 11:18:00,2,99928.74680000001,100046.6300000001,492,492,-117.8832,0.2396,2,0.53
2023-02-10 12:10:00,2,100035.3632,100035.36320000018,0,492,106.6164,0.2167,2,0.55
2023-02-10 12:10:00,2,100002.8582,100035.36320000018,150,150,-32.505,0.2167,2,0.55
2023-02-21 12:24:00,2,100036.9232,100036.92320000021,0,150,34.065,0.2271,0,0.46
2023-02-22 13:50:00,2,99712.08410000001,100036.92320000021,1567,1567,-324.83910000000003,0.2073,2,0.57
2023-03-06 13:24:00,2,100040.99740000001,100040.99740000018,0,1567,328.9133,0.2099,2,0.77
2023-03-06 13:24:00,2,99621.1974,100040.99740000018,2000,2000,-419.8,0.2099,2,0.77
2023-03-16 13:25:00,2,100019.5974,100019.59740000013,0,2000,398.4,0.1992,2,0.78
2023-03-16 13:25:00,2,99979.7574,100019.59740000013,200,200,-39.839999999999996,0.1992,2,0.78
2023-03-27 11:00:00,2,100019.1574,100019.15740000008,0,200,39.4,0.197,2,0.77
2023-03-27 11:00:00,2,99823.7334,100019.15740000008,992,992,-195.424,0.197,2,0.77
2023-04-06 11:01:00,2,100021.63739999999,100021.63740000008,0,992,197.904,0.1995,2,0.55
2023-04-06 11:01:00,2,99981.7374,100021.63740000008,200,200,-39.900000000000006,0.1995,2,0.55
2023-04-17 12:14:00,2,100017.3374,100017.33739999993,0,200,35.6,0.178,0,0.47
2023-04-17 13:54:00,2,99908.0314,100017.33739999993,620,620,-109.30600000000001,0.1763,2,0.53
2023-04-27 14:01:00,2,99988.6934,99988.69339999983,0,620,80.66199999999999,0.1301,2,0.83
2023-04-27 14:01:00,2,99299.944,99988.69339999983,5294,5294,-688.7493999999999,0.1301,2,0.83
2023-05-08 08:04:00,2,99956.40000000001,99956.3999999997,0,5294,656.456,0.124,2,0.79
2023-05-08 08:04:00,2,99903.20400000001,99956.3999999997,429,429,-53.196,0.124,2,0.79
2023-05-18 08:23:00,2,99952.49610000002,99952.49609999976,0,429,49.2921,0.1149,2,0.74
2023-05-18 08:23:00,2,99719.13420000001,99952.49609999976,2031,2031,-233.3619,0.1149,2,0.74
2023-05-30 08:35:00,2,99963.05730000001,99963.05729999971,0,2031,243.9231,0.1201,2,0.77
2023-05-30 08:35:00,2,99949.72620000002,99963.05729999971,111,111,-13.3311,0.1201,2,0.77
2023-06-09 09:28:00,2,99963.82320000001,99963.82319999972,0,111,14.097,0.127,0,0.4
2023-06-09 19:18:00,2,99951.32320000001,99963.82319999972,100,100,-12.5,0.125,2,0.5
2023-06-20 12:15:00,2,99964.87320000002,99964.87319999968,0,100,13.55,0.1355,0,0.4
2023-06-22 12:49:00,2,99901.77320000001,99964.87319999968,500,500,-63.1,0.1262,2,0.53
2023-07-03 11:26:00,2,99964.27320000001,99964.27319999968,0,500,62.5,0.125,2,0.72
