Time,ticker,Cash,Market Value,Ticker Quantity,Transacted Quantity,Transacted Cash,vwap,Prediction,Probability
2023-01-03 09:03:00,369,99975.0,100000.0,5,5,-25.0,5.0,2,0.91
2023-01-03 09:03:00,23,99826.3,100000.0,500,500,-148.7,0.2974,2,0.84
2023-01-03 09:03:00,23,99823.326,100000.0,510,10,-2.974,0.2974,2,0.82
2023-01-03 09:06:00,23,99991.626,100016.626,0,510,168.3,0.33,3,0.65
2023-01-03 09:44:00,622,99474.97,100016.626,659,659,-516.6560000000001,0.784,2,0.83
2023-01-03 10:13:00,369,99309.97,100053.53,38,33,-165.0,5.0,2,0.91
2023-01-03 10:16:00,148,98894.17,100053.53,378,378,-415.8,1.1,2,0.8
2023-01-03 10:33:00,622,98858.48,100046.94,702,43,-35.69,0.83,2,0.78
2023-01-03 12:00:00,148,98693.8749,100043.19780000001,529,151,-164.60510000000002,1.0901,2,0.79
2023-01-03 12:00:00,622,98647.6749,100050.21780000001,757,55,-46.199999999999996,0.84,2,0.78
2023-01-03 12:07:00,148,98537.6749,100055.45490000001,629,100,-110.00000000000001,1.1,2,0.8
2023-01-03 12:10:00,437,98447.6549,100055.45490000001,200,200,-90.02,0.4501,2,0.81
2023-01-03 12:15:00,299,98363.6549,100055.45490000001,100,100,-84.0,0.84,2,0.8
2023-01-03 12:29:00,437,97979.35489999999,100055.43490000001,1054,854,-384.3,0.45,2,0.81
2023-01-03 12:30:00,437,97837.12329999999,100055.54030000001,1370,316,-142.2316,0.4501,2,0.81
2023-01-03 12:46:00,23,97777.5253,100055.54030000001,198,198,-59.598,0.301,2,0.82
2023-01-03 12:46:00,23,97717.9273,100055.54030000001,396,198,-59.598,0.301,2,0.81
2023-01-03 12:53:00,148,97526.5273,100055.54030000001,803,174,-191.4,1.1,2,0.8
2023-01-03 13:00:00,369,96961.5273,100055.54030000001,151,113,-565.0,5.0,2,0.89
2023-01-03 13:00:00,498,96886.5273,100055.54030000001,100,100,-75.0,0.75,2,0.85
2023-01-03 13:00:00,299,96448.9394,100055.53030000001,621,521,-437.5879,0.8399,2,0.8
